"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
US_Composite,VTMX US Equity,US,USD,US92540K1097,US
US_Composite,VTON US Equity,US,USD,US92237T1088,UN
US_Composite,VTON US Equity,US,USD,US92237T1088,US
DEU_Composite,VQT GR Equity,DEU,EUR,DE0006636681,GR
MXN_Composite,WAB* MM Equity,MX,MXN,US9297401088,MM
IN_Composite,VTS IN Equity,IN,INR,INE153C01015,IN
IN_Composite,VRFILMS IN Equity,IN,INR,INE06LG01010,IN
IN_Composite,VRI IN Equity,IN,INR,INE467D01017,IN
BZ_Composite,W1MG34 BZ Equity,BZ,BRL,BRW1MGBDR009,BZ
MXN_Composite,VST* MM Equity,MX,MXN,US92840M1027,MM
US_Composite,VSTCQ US Equity,US,USD,US92834D1000,UN
US_Composite,VSTCQ US Equity,US,USD,US92834D1000,US
US_Composite,VWDRY US Equity,US,USD,US9254581013,UN
US_Composite,VWDRY US Equity,US,USD,US9254581013,US
DEU_Composite,VTX GR Equity,DEU,EUR,BMG1223L1054,GR
US_Composite,VTXB US Equity,US,USD,US92904T1007,UN
US_Composite,VTXB US Equity,US,USD,US92904T1007,US
DEU_Composite,W5L GR Equity,DEU,EUR,SE0007784319,GR
DEU_Composite,W63 GR Equity,DEU,EUR,PLRNDCB00011,GR
US_Composite,VTMLF US Equity,US,USD,AU0000352627,UN
US_Composite,VTMLF US Equity,US,USD,AU0000352627,US
BZ_Composite,W1HR34 BZ Equity,BZ,BRL,BRW1HRBDR006,BZ
MXN_Composite,W* MM Equity,MX,MXN,US94419L1017,MM
DEU_Composite,VSO GR Equity,DEU,EUR,SE0001057910,GR
US_Composite,VSOLF US Equity,US,USD,CA88577D1096,UN
US_Composite,VSOLF US Equity,US,USD,CA88577D1096,US
DEU_Composite,W3L1 GR Equity,DEU,EUR,GB00B830HW33,GR
DEU_Composite,W3T GR Equity,DEU,EUR,US8549361017,GR
US_Composite,WAB US Equity,US,USD,US9297401088,UN
US_Composite,WAB US Equity,US,USD,US9297401088,US
MXN_Composite,VTS* MM Equity,MX,MXN,US92852X1037,MM
US_Composite,VTSYF US Equity,US,USD,HK0345001611,UN
US_Composite,VTSYF US Equity,US,USD,HK0345001611,US
CAN_Composite,VTT CN Equity,TO,CAD,CA92261V1022,CN
US_Composite,VSA US Equity,US,USD,US8761082002,UN
US_Composite,VSA US Equity,US,USD,US8761082002,US
US_Composite,VSBC US Equity,US,USD,US92851B1026,UN
US_Composite,VSBC US Equity,US,USD,US92851B1026,US
US_Composite,VRRCF US Equity,US,USD,CA91831M1059,UN
US_Composite,VRRCF US Equity,US,USD,CA91831M1059,US
AUS_Composite,VRS AU Equity,AX,AUD,AU000000VRS5,AU
DEU_Composite,W2B GR Equity,DEU,EUR,US55939A1079,GR
US_Composite,VRTHF US Equity,US,USD,CA45569M1095,UN
US_Composite,VRTHF US Equity,US,USD,CA45569M1095,US
IN_Composite,VRTL IN Equity,IN,INR,INE810C01044,IN
IN_Composite,VRTS IN Equity,IN,INR,INE316D01024,IN
IN_Composite,VXLI IN Equity,IN,INR,INE756A01019,IN
US_Composite,VTDRF US Equity,US,USD,BMG9551V1081,UN
US_Composite,VTDRF US Equity,US,USD,BMG9551V1081,US
US_Composite,VTGN US Equity,US,USD,US92840H4002,UN
US_Composite,VTGN US Equity,US,USD,US92840H4002,US
CAN_Composite,VTI CN Equity,TO,CAD,CA9190672076,CN
US_Composite,VTKLF US Equity,US,USD,BMG9400S1329,UN
US_Composite,VTKLF US Equity,US,USD,BMG9400S1329,US
AUS_Composite,VTL AU Equity,AX,AUD,AU0000152597,AU
US_Composite,VTYX US Equity,US,USD,US92332V1070,UN
US_Composite,VTYX US Equity,US,USD,US92332V1070,US
DEU_Composite,VU1 GR Equity,DEU,EUR,AU000000AEE7,GR
CAN_Composite,VPI CN Equity,TO,CAD,CA92847D1050,CN
US_Composite,VTXXF US Equity,US,USD,AU0000185910,UN
US_Composite,VTXXF US Equity,US,USD,AU0000185910,US
DEU_Composite,VTY GR Equity,DEU,EUR,US92343X1000,GR
US_Composite,VTYB US Equity,US,USD,US92644G1031,UN
US_Composite,VTYB US Equity,US,USD,US92644G1031,US
